Language	Speedup	System	provider	target_lang	speed_factor	run_dir	bleu	xcomet_xl	segments	valid_segments	over_translation_alignments	under_translation_alignments	null_alignments	non_1to1_groups	many_source_to_one_groups	max_source_group_size	ending_offset_mean_ms	ending_offset_p50_ms	ending_offset_p90_ms	first_speech_playout_offset_p50_ms	speech_playout_span_p50_ms	talk_speech_final_offset_mean_ms	target_audio_queue_tail_mean_ms	target_audio_after_speech_mean_ms
En-De	1x	GPT-realtime-translate	openai	de	1.0	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_openai_chunk960_speed1	29.006171400676923	0.8854925232581901	422	422	0	0	0	77	35	3	20402.655240523698	12125.344500000007	70157.87210000026	5853.370500000019	5999.997999999992	28584.379000000004	18695.421600000023	22627.132400000002
En-De	1.25x	GPT-realtime-translate	openai	de	1.25	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_openai_chunk960_speed1p25	29.442673131054487	0.8856632342106373	421	420	0	1	1	73	36	3	22100.018790954284	11833.044000000009	59118.82829999997	6724.459499999975	5456.6645000000135	36788.488	25771.97660000003	26751.99960000003
En-De	1.5x	GPT-realtime-translate	openai	de	1.5	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_openai_chunk960_speed1p5	27.01492965933425	0.8466946358360895	410	402	0	8	8	77	45	7	20642.326169985074	14784.035499999984	32902.977700000025	9779.922859666665	5037.982999999978	28167.2716	20520.87579999999	18336.000199999988
En-De	1x	Gemini 3.5-live-translate	gemini	de	1.0	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_gemini_chunk960_speed1	33.59025111554973	0.8630697803922219	404	404	0	0	0	79	51	4	26219.564897297027	18364.717999999993	57006.309199999974	11680.17399999997	6710.003000000055	37476.07980000002	1139.523399999994	5850.001599999983
En-De	1.25x	Gemini 3.5-live-translate	gemini	de	1.25	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_gemini_chunk960_speed1p25	36.97704346868805	0.8873367336864518	404	403	0	1	1	79	52	5	18940.230566268983	10019.09699999995	52217.81320000001	4905.511999999999	5980.0	28499.153000000002	832.2266000000061	6244.0013999999965
En-De	1.5x	Gemini 3.5-live-translate	gemini	de	1.5	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_gemini_chunk960_speed1p5	35.94601212809861	0.8781264821314871	399	397	0	2	2	69	51	4	20707.887159543243	12230.980666666663	63656.38940000001	7462.010000000009	4960.0	23359.283999999996	1191.4112000000082	6396.0002000000095
En-De	1x	KIT Lecture Translator	kit	de	1.0	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_kit_chunk960_speed1	27.427206654621347	0.7020062483216992	402	341	0	61	61	61	50	6	368901.74245713785	340936.421	640828.176	333568.01399999997	8180.000999999931	632868.5680000001	73001.13499999997	354.39099999996836
En-De	1.25x	KIT Lecture Translator	kit	de	1.25	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_kit_chunk960_speed1p25	26.52422336952761	0.6674311614262086	408	329	0	79	79	57	48	5	300047.98708907963	303872.5610000001	488182.92300000007	294077.505	8479.99900000001	369955.6946	38279.87100000001	374.0514000000083
En-De	1.5x	KIT Lecture Translator	kit	de	1.5	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_ende_kit_chunk960_speed1p5	24.23906465940272	0.601264212940013	418	298	0	120	120	54	43	3	292508.8187256913	282039.3858333333	505694.2127666667	276995.5388333333	8549.994999999974	328527.5752	31886.30539999999	499.98919999999924
En-Ja	1x	GPT-realtime-translate	openai	ja	1.0	projects/acl6060_s2s_metrics_seed/artifacts/acl6060_live_enja_openai_chunk960_speed1	23.78765648010418	0.6793787441545491	433	428	1	4	5	117	26	4	13757.541315509347	12866.272500000021	20598.01000000001	6143.5809999999765	6680.519999999975	17076.858200000017	25780.56799999997	27856.132599999964
